SKU,Nombre Corto,Atributo,Stock,Fecha de Modificación,Precio Promedio
5031052,ARETES TWIST GLAM J15389,Negro,1,2018-02-01,0
5031055,ARETES NEO DORE J15392,Negro,1,2018-02-01,0
5031082,ARETES MADAME ROSE J15434,Negro,1,2018-02-01,0
5031121,ARETES BORGUESE J15457,Negro,3,2018-02-01,0
5031123,COLECCION ANGEL LOVE J15459,Negro,1,2018-02-01,0
5031126,ARETES FLORAL GLAM J15239,Negro,1,2018-02-01,0
5031129,SET ARETES SFERA ELEGANT J15242,Negro,1,2018-02-01,0
5031143,ARETES QUARTZ CHIC J15252,Negro,1,2018-02-01,0
5031157,ARETES SOLAZZE J15267,Negro,1,2018-02-01,0
5031161,ARETES LUNA STAR J15271,Negro,1,2018-02-01,0
5031177,COLLAR HARMONY LOVE J15282,Negro,1,2018-02-01,0
5031179,ARETES HARMONY GLAM J15284,Negro,1,2018-02-01,0
5031180,PULSERA HARMONY LOVE J15285,Negro,1,2018-02-01,0
5031194,COLECCION PERLI ELEGANT J15295,Negro,2,2018-02-01,0
5031247,ARETES AQUA ESTELAR J15333,Negro,1,2018-02-01,0
5031254,COLLAR DIVINE ROSE J15340,Negro,1,2018-02-01,0
5031255,ARETES DIVINE ROSE J15341,Negro,1,2018-02-01,0
5031256,PULSERA DIVINE ROSE J15342,Negro,1,2018-02-01,0
5031259,ARETES CANDENT CRISTAL J15345,Negro,1,2018-02-01,0
5031267,COLECCION RUBI LOVE J15353,Negro,1,2018-02-01,0
5031268,PULSERA RUBI LOVE J15355,Negro,1,2018-02-01,0
5031278,SORTIJA LOVE CRISTAL T8 J15354,Negro,1,2018-02-01,0
5031293,ARETES NAIROBI CRISTAL J15616,Negro,1,2018-02-01,0
5031299,ARETES SIARA J15622,Negro,1,2018-02-01,0
5031305,COLECCION RUBY FEM J15628,Negro,3,2018-02-01,0
5031309,COLLAR CUADRATTI GLAM J15632,Negro,1,2018-02-01,0
5031311,PULSERA CUADRATTI GLAM J15634,Negro,1,2018-02-01,0
5031318,SORTIJA CUADRATTI GLAM T8 J9893,Negro,1,2018-02-01,0
5031321,PULSERA IZADINNE J15641,Negro,1,2018-02-01,0
5031330,ARETES ISSY COLOR J15645,Negro,1,2018-02-01,0
5031347,ARGOLLAS SAHARA FLOR J15662,Negro,1,2018-02-01,0
5031366,PULSERA SUPERNOVA J15524,Negro,1,2018-02-01,0
5031368,ARETES GLAMOUR CHIC J15461,Negro,1,2018-02-01,0
5031369,ARETES GLAMOUR DIVINE J15462,Negro,1,2018-02-01,0
5031402,COLLAR SUPERNOVA J15485,Negro,1,2018-02-01,0
5031403,ARETES SUPERNOVA CHIC J15486,Negro,1,2018-02-01,0
